Timestamp,name,dept,emaiid,teachingscore,teaching,coursecontentscore,coursecontent,examinationscore,examination,labworkscore,labwork,libraryfacilitiesscore,libraryfacilities,extracurricularscore,extracurricular,emaiid,dept,name
2/9/2020 12:07:47,a,cse,a,-1,I can't understand the method of teaching,1,very Good......and innovative,0,Examination pattern is good but it can be done better,1,practicals are conducted regularly and in appropriate manner,-1,some books are not provided and quality is very bad,-1,No extracurricular activities are conducted,a,cse,a
2/9/2020 12:13:16,a,cse,a,1,The instructor was interested in the students and their progress.,1,The instructor showed enthusiasm for the course component.,-1,He was not prepared to explain the course for examination.,0,The instructor was not prepared for the session but he explained it in a good manner.,-1,The library facilities are not good.,-1,They don't provide the time for extracurricular activities,a,cse,a
2/9/2020 12:28:54,a,cse,a,-1,The instructor don't use any examples for explaination.,-1,The course content provide by this teacher is not sufficient for exams,0,at the time of examination the provided content  is not good but he explain it nicely,1,in practicle exam he helped us a lot,1,the enviroment of library contributed to my spiritual growth.,0,they provide time for extracurricular but don't provide any activities,a,cse,a
2/9/2020 12:38:03,a,cse,a,0,Teaching is good but always late to class,1,Finish course on time,1,Patern is easy,1,Easy,0,All books are not available but hall is quite big,1,Excellent,a,cse,a
2/9/2020 12:40:16,a,cse,a,0,Explaination is poor,0,Never finish course on time,1,Easy,1,Good,1,Good,0,Average,a,cse,a
2/9/2020 12:41:49,a,cse,a,-1,The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,0,The course content is good. But out dated.,0,Examination is okay. But can be good.,1,Good,1,Library is spacious,1,Good,a,cse,a
2/9/2020 12:42:30,a,cse,a,-1,Very poor,1,Quite good course,-1,Poor,1,Excellent,1,Excellent,1,Excellent,a,cse,a
2/9/2020 12:44:14,a,cse,a,0,Content dellivery is not good,0,Some contents are bad,1,Excellent,0,Average,1,Excellent,1,Excellent,a,cse,a
2/9/2020 12:46:07,a,cse,a,-1,Bad,-1,Not covered,-1,Very hard,1,Good,1,Everything is available,-1,No time for extracurricular,a,cse,a
2/9/2020 12:49:36,a,cse,a,1,The instructor showed familiarity with the course material.,-1,The topics and assignments were at an appropriate level of difficulty.,-1,The amount of material covered was inappropriate.,1,The goals were achieved to a significant extent.,1,the environment of library helped us a lot for examination.,-1,they don't provide any work for this,a,cse,a
2/9/2020 12:50:02,a,cse,a,1,Excellent,1,Covers everything,-1,Tough,-1,No focus on labwork,0,Manageable,1,Extracurricular activities are encouraged,a,cse,a
2/9/2020 12:51:01,a,cse,a,-1,Too fast,1,Course completed in time,1,Easy to learn pattern,-1,Manuals weren't upto date,-1,Books aren't available,1,Football and cricket included,a,cse,a
2/9/2020 12:51:45,a,cse,a,1,Explaination is very good,0,Whacky,-1,I hate using my Brain right now,1,I love labs,0,Okayzz,0,Few activities are conducted,a,cse,a
2/9/2020 12:59:08,a,cse,a,1,Remarkable,1,Outstanding,-1,Improvement needed,1,Successful effort !!!!,1,Good maintainence of books,1,Sports and other induction carried,a,cse,a
2/9/2020 13:02:22,a,cse,a,1,Right on target,1,Nice,-1,Hard work needed,0,Superb lab but not that perfect teacher,1,Awesome,1,Many activities like singing and others,a,cse,a
2/9/2020 13:04:39,a,cse,a,1,Excellent,-1,Not paying much attention,1,Marvelous,1,Noteworthy,1,Fabulous,1,Amazingggggggg!!!,a,cse,a
2/9/2020 13:07:16,a,cse,a,1,Extraordinary,1,Good,1,Superb,1,Clever,-1,Expert needed....,1,Perfect,a,cse,a
2/9/2020 13:12:37,a,cse,a,1,Fine teaching,1,Incredible course contents,1,Orderly schedule is followed for examination,-1,Improvement is required,1,Gr8 facilities provided,-1,Extracurricular activities should include physical fitness also.,a,cse,a
2/9/2020 13:14:15,a,cse,a,1,Teachers are very professional,1,Course content is interesting,-1,the course content is not enough for examination,1,Equipment in the lab is in good working condition,1,The library staff is cooperative and helpful,1,they provide nice work for curricular activities.,a,cse,a
2/9/2020 13:16:26,a,cse,a,1,Proper teaching is done,1,Great going courses,-1,Exams aren't as per expectations,-1,Doubts aren't cleared,1,"Clear, concise facilities given by library",1,Dedicated efforts are seen for extra curricular activities,a,cse,a
2/9/2020 13:26:00,a,cse,a,1,"very helpful.When you have a problem, they are always ready to help you.",-1,courses content are difficult to understand.,-1,The syllabus for examination is too more than to read.,1,the lab faculty is comparatively better than anything else in the college,1,I was encouraged to think for myself.,1,provide enough time for doing activities,a,cse,a
2/9/2020 13:28:01,a,it,a,-1,Cooperation needed with students,1,Nice courses,1,Fine work,1,Labs are cleaned,1,Splendid job,1,Impressive activities are carried out!!,a,it,a
2/9/2020 13:30:29,a,it,a,0,Teacher can improve,1,The content is excellent,-1,Examination is not conducted in good manner. It needs improvement,0,Machines are good but practicals are not upto the mark,1,great,1,Lot of activities are conducted,a,it,a
2/9/2020 13:30:32,a,it,a,1,Cooperative nature of teachers makes it easier for better learning,-1,I expect the content to be raised to the standard which is required,1,Exams are standardized  enough to meet the qualification requirments.,1,"Excellent lab work,  assignments were carried on successfully.",-1,Not upto the mark at which labwork is being done.,1,Activities are taken after properly.,a,it,a
2/9/2020 12:38:03,a,it,a,0,Teaching is good but always late to class,1,Finish course on time,1,Patern is easy,1,Easy,0,All books are not available but hall is quite big,1,Excellent,a,it,a
2/9/2020 12:40:16,a,it,a,0,Explaination is poor,0,Never finish course on time,1,Easy,1,Good,1,Good,0,Average,a,it,a
2/9/2020 12:41:49,a,it,a,-1,The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,0,The course content is good. But out dated.,0,Examination is okay. But can be good.,1,Good,1,Library is spacious,1,Good,a,it,a
2/9/2020 12:42:30,a,it,a,-1,Very poor,1,Quite good course,-1,Poor,1,Excellent,1,Excellent,1,Excellent,a,it,a
2/9/2020 12:44:14,a,it,a,0,Content dellivery is not good,0,Some contents are bad,1,Excellent,0,Average,1,Excellent,1,Excellent,a,it,a
2/9/2020 12:46:07,a,it,a,-1,Bad,-1,Not covered,-1,Very hard,1,Good,1,Everything is available,-1,No time for extracurricular,a,it,a
2/9/2020 12:49:36,a,it,a,1,The instructor showed familiarity with the course material.,-1,The topics and assignments were at an appropriate level of difficulty.,-1,The amount of material covered was inappropriate.,1,The goals were achieved to a significant extent.,1,the environment of library helped us a lot for examination.,-1,they don't provide any work for this,a,it,a
2/9/2020 12:50:02,a,it,a,1,Excellent,1,Covers everything,-1,Tough,-1,No focus on labwork,0,Manageable,1,Extracurricular activities are encouraged,a,it,a
2/9/2020 12:51:01,a,it,a,-1,Too fast,1,Course completed in time,1,Easy to learn pattern,-1,Manuals weren't upto date,-1,Books aren't available,1,Football and cricket included,a,it,a
2/9/2020 12:51:45,a,it,a,1,Explaination is very good,0,Whacky,-1,I hate using my Brain right now,1,I love labs,0,Okayzz,0,Few activities are conducted,a,it,a
2/9/2020 12:59:08,a,it,a,1,Remarkable,1,Outstanding,-1,Improvement needed,1,Successful effort !!!!,1,Good maintainence of books,1,Sports and other induction carried,a,it,a
2/9/2020 13:02:22,a,it,a,1,Right on target,1,Nice,-1,Hard work needed,0,Superb lab but not that perfect teacher,1,Awesome,1,Many activities like singing and others,a,it,a
2/9/2020 13:04:39,a,it,a,1,Excellent,-1,Not paying much attention,1,Marvelous,1,Noteworthy,1,Fabulous,1,Amazingggggggg!!!,a,it,a
2/9/2020 13:07:16,a,it,a,1,Extraordinary,1,Good,1,Superb,1,Clever,-1,Expert needed....,1,Perfect,a,it,a
2/9/2020 13:12:37,a,it,a,1,Fine teaching,1,Incredible course contents,1,Orderly schedule is followed for examination,-1,Improvement is required,1,Gr8 facilities provided,-1,Extracurricular activities should include physical fitness also.,a,it,a
2/9/2020 13:14:15,a,it,a,1,Teachers are very professional,1,Course content is interesting,-1,the course content is not enough for examination,1,Equipment in the lab is in good working condition,1,The library staff is cooperative and helpful,1,they provide nice work for curricular activities.,a,it,a
2/9/2020 13:16:26,a,it,a,1,Proper teaching is done,1,Great going courses,-1,Exams aren't as per expectations,-1,Doubts aren't cleared,1,"Clear, concise facilities given by library",1,Dedicated efforts are seen for extra curricular activities,a,it,a
2/9/2020 13:26:00,a,it,a,1,"very helpful.When you have a problem, they are always ready to help you.",-1,courses content are difficult to understand.,-1,The syllabus for examination is too more than to read.,1,the lab faculty is comparatively better than anything else in the college,1,I was encouraged to think for myself.,1,provide enough time for doing activities,a,it,a
2/9/2020 13:28:01,a,it,a,-1,Cooperation needed with students,1,Nice courses,1,Fine work,1,Labs are cleaned,1,Splendid job,1,Impressive activities are carried out!!,a,it,a
2/9/2020 13:30:29,a,it,a,0,Teacher can improve,1,The content is excellent,-1,Examination is not conducted in good manner. It needs improvement,0,Machines are good but practicals are not upto the mark,1,great,1,Lot of activities are conducted,a,it,a
2/9/2020 13:30:32,a,it,a,1,Cooperative nature of teachers makes it easier for better learning,-1,I expect the content to be raised to the standard which is required,1,Exams are standardized  enough to meet the qualification requirments.,1,"Excellent lab work,  assignments were carried on successfully.",-1,Not upto the mark at which labwork is being done.,1,Activities are taken after properly.,a,it,a
2/9/2020 13:35:43,a,it,a,-1,More hard work required,1,Contents are quite informative,-1,Supervisors are needed,-1,Internet problems are seen,1,Good management,1,"Staff are familiar with activities and well versed
",a,it,a
2/9/2020 13:37:36,a,it,a,1,The instructor made good use of examples and illustrations,-1,The instructor was not interested in course.,-1,what the instructor taught and what comes up in the exam are not similar,-1,management is not good enough according to the amount they charge,0,the seating arrangement is good but too noisy.,-1,not enough time for doing this,a,it,a
2/9/2020 13:41:17,a,it,a,-1,Not good,-1,very bad,0,average,-1,very bad,1,great,-1,disgusting,a,it,a
2/9/2020 13:42:33,a,it,a,0,Teachers are highly qualified but they should devote more time to students,1,Includes various concepts which are explained thoroughly.,-1,Should be conducted in a non chaotic way.,0,Labwork is done properly but assignments need to be upto the marks.,1,No objections to such good facilities.,1,Are given importance equivalent to curricular activities.,a,it,a
2/9/2020 13:43:19,a,it,a,1,The instructor Always made sure everyone understand explanations,-1,The course content is not precise and module as a whole is not very well delivered,1,"The clarity of the material provided and the simplicity and the breaking down
in the handouts",,Goals were achieved,1,provide opportunities to learn procedural skills,0,The execution of academic contents like frankness and clarity in language But creativity and innovation is not supported,a,it,a
2/9/2020 13:44:47,a,it,a,1,The instructor was available for individual discussion.,1,I learned a lot from taking this course component.,1,the question appeared in the exam are good and easy,-1,the teachers unable to communicate in proper language,-1,The library staff is  not helpful,1,The  staff is very cooperative.,a,it,a
2/9/2020 13:45:28,a,it,a,1,Interactive lectures are conducted by staff.,-1,Some other courses can be added.,-1,Exams aren't started on time,1,Good contents and enthusiastic staff members.,-1,Librarian can't handle other than English language,1,Environmental friendly activities are conducted.,a,it,a
2/9/2020 13:50:00,a,it,a,-1,They need to develop a friendly nature towards learners.,1,Highly rated content.,-1,Includes odd questions which have no importance.,-1,Needs to be conducted in a teamwork.,0,"Facilities are satisfactory, but need to be improved.",-1,Inadequate response paid towards it.,a,it,a
2/9/2020 13:52:21,a,it,a,-1,The instructor was  not available for individual discussion,0,the course content is too easy but don't explain it nicely,-1,they don't give enough time to complete the paper,-1,Infrastructure and Lab facilities are not good,1,library facilities are too good for preparing for exam.,1,The staff for curricular activities is good and helpful,a,it,a
2/9/2020 13:54:20,a,it,a,1,Precise lecture notes and interesting contents.,1,Courses are Knowledgeable.,-1,Practical exams arent conducted well,1,Case study classes are very interesting.,1,Good maintaining and management skills of the members in library.,0,There are activities conducted but they aren't as per our expectations.,a,it,a
2/9/2020 13:56:28,a,it,a,1,All teachers are really well experienced and resourceful,-1,The course component was stimulating.,-1,The topics and assignments were at an appropriate level of difficulty.,1,They are very friendly and supportive,-1,facilities are not good at exam time,1,The staff is very supportive,a,it,a
2/9/2020 14:00:58,a,it,a,1,Good,0,Neutral,1,Excellent,0,Good,0,Improvement needed,0,Well,a,it,a
2/9/2020 14:03:06,a,it,a,-1,Not on time,1,awesome,0,ok ok,-1,Very bad infrastructure,1,Good quality books,-1,Much needed!!!!,a,it,a
2/9/2020 14:05:45,a,it,a,1,Presentation skills are well.,1,Excellent courses,-1,Timetable aren't updated,1,Discussion are carried out for understanding purpose.,1,Outstanding facilities.,-1,Practical knowledge isnt applied.,a,it,a
2/9/2020 14:08:55,a,it,a,1,Teachers are ready to teach students not only in classes but available to clear doubts in their free time,1,the courses is easy to understand,-1,question appeared in are not from syllabus,-1,Equipment in the lab are not in good working condition,1,The prescribed books and  reading materials are available in the library,1,the staff is very cooperative,a,it,a
2/9/2020 14:11:17,a,it,a,1,Well understandable concepts,-1,Need to work on contents,1,Okay!!,1,Well maintained!!,1,I am satisfied by facilities and some books contents.,-1,Encouraging and focus needed on sports skills.,a,it,a
2/9/2020 14:16:58,a,it,a,1,Well planned and timely teaching is carried .,-1,No need of Extra courses,1,Well versed,-1,Chairs in the labs aren't good,-1,Some books arent being ordered even after instructing librarian.,-1,"Other than sports some extra curricular activities like competition in Fields of coding ,IoT should be included.",a,it,a
2/9/2020 14:18:05,a,it,a,0,average,1,course content is excellent,-1,pattern needs to improve a lot,-1,very bad infrastructure,1,very good,1,very effective,a,it,a
2/9/2020 14:18:59,a,it,a,1,The teacher interacted with whole class .,1,The content taught was easy to understand.,1,The teacher shared  important points in course for exam.,1,Lab practicals was taken very good,1,We got lot of books in library.,1,Lot of activities we're conducted .,a,it,a
2/9/2020 14:19:24,a,it,a,-1,the teachers prepare for the classes are very poorly,1,The syllabus of each course was not challenging,1,able to write answers in that given time,-1,Reading material regarding praticles is not available,-1,the library material and facilities are very poor,1,material regarding extra activities is easily available,a,it,a
2/9/2020 14:20:19,a,it,a,-1,very bad,0,good but needs to be improved,1,very goooooddddd pattern,-1,needs to be improved,1,books are good. infrastructure is awesome,-1,not sufficient,a,it,a
2/9/2020 14:23:01,a,it,a,-1,Teacher has less knowledge of their own subject.,1,Good,1,Awesomemeeee,1,Mind blowing!!!!!,1,Superbbbbbb,1,Amazinggg,a,it,a
